image_index,beautiful_cat_score,cute_cat_score,lovely_cat_score,charming_cat_score,adorable_cat_score,elegant_cat_score,graceful_cat_score,pretty_cat_score,handsome_cat_score,gorgeous_cat_score,photogenic_cat_score,delightful_cat_score,attractive_cat_score,sweet_cat_score,stunning_cat_score,majestic_cat_score,fluffy_cat_score,playful_cat_score,happy_cat_score,appealing_cat_score,total_score,image_url
17,0.80528784,0.28652394,0.592912,0.47410804,0.66490585,0.10002841,0.500113,0.6485264,0.8187688,0.6256266,0.72497904,0.7583984,0.8316161,0.603659,0.70591015,0.61619407,0.93141216,0.30752534,0.6006423,0.5184638,12.115601,https://storage.googleapis.com/pretty_cats/image_17.jpg
18,0.8577775,0.43634057,0.76201344,0.6938912,0.8728755,0.32524714,0.8152265,0.54622,0.87844115,0.7902766,0.40199175,0.6733775,0.3396659,0.48516807,0.9593025,0.41717783,0.8039536,0.4461549,0.75741327,0.6417057,12.904221,https://storage.googleapis.com/pretty_cats/image_18.jpg
19,0.7136866,0.37665805,0.372047,0.4527254,0.46177518,0.65531963,0.8419392,0.3241326,0.8351059,0.6615028,0.32596543,0.6606562,0.26881468,0.4157228,0.78234076,0.56899124,0.5576171,0.31770155,0.4619591,0.6225158,10.677176,https://storage.googleapis.com/pretty_cats/image_19.jpg
20,0.89912087,0.68288606,0.91039294,0.8573378,0.8406091,0.6389268,0.7316271,0.8608135,0.535414,0.93236053,0.48593178,0.7106538,0.4160393,0.67631435,0.97053695,0.10312053,0.32227638,0.82529265,0.35302556,0.22670369,12.979384,https://storage.googleapis.com/pretty_cats/image_20.jpg
21,0.51326776,0.17061864,0.5452626,0.5363916,0.16864693,0.49765587,0.68032926,0.33243695,0.9047234,0.24551475,0.5279084,0.715754,0.49993375,0.37678254,0.42552644,0.39624292,0.32569772,0.1068372,0.7726945,0.28272116,9.024947,https://storage.googleapis.com/pretty_cats/image_21.jpg
22,0.6930507,0.44514558,0.648245,0.28571048,0.4061349,0.9266072,0.90169775,0.43381235,0.67599815,0.59564376,0.22673346,0.6698229,0.48395088,0.46100163,0.86202693,0.26724193,0.6141423,0.26557124,0.38752508,0.5844556,10.834518,https://storage.googleapis.com/pretty_cats/image_22.jpg
23,0.7262664,0.28722084,0.82725865,0.45945647,0.34216744,0.22120048,0.022904564,0.21089926,0.12880056,0.22672845,0.7159689,0.3196048,0.74241406,0.11976319,0.64640576,0.60267884,0.12175304,0.59689164,0.4020216,0.8545972,8.575003,https://storage.googleapis.com/pretty_cats/image_23.jpg
24,0.8413005,0.5423435,0.83905613,0.8030541,0.85860336,0.14412323,0.7519314,0.5783533,0.8471071,0.82443655,0.66567546,0.817388,0.60413575,0.6581472,0.9640479,0.43986434,0.8036112,0.13612677,0.51799905,0.5203825,13.157685,https://storage.googleapis.com/pretty_cats/image_24.jpg
25,0.81028545,0.5655757,0.40322626,0.33500788,0.20909722,0.7868356,0.51669645,0.35732,0.036465004,0.2442873,0.18107308,0.8337964,0.2764711,0.62660134,0.27045387,0.21673821,0.565003,0.75187165,0.8085702,0.52221644,9.317593,https://storage.googleapis.com/pretty_cats/image_25.jpg
26,0.28476906,0.19688441,0.41091463,0.1682,0.25458825,0.73534775,0.042756066,0.31008688,0.18451251,0.10335697,0.34697986,0.40325058,0.19553378,0.045048755,0.23154126,0.23294073,0.09709721,0.06656682,0.092912585,0.7337027,5.136991,https://storage.googleapis.com/pretty_cats/image_26.jpg
27,0.7431942,0.23698565,0.87962645,0.6474017,0.7408685,0.15301397,0.541504,0.84986,0.49737218,0.5917864,0.7477818,0.81994796,0.96878684,0.6753984,0.8360064,0.33403805,0.556063,0.7911821,0.8387964,0.6795518,13.129167,https://storage.googleapis.com/pretty_cats/image_27.jpg
28,0.9741933,0.631892,0.5576806,0.8292945,0.89369327,0.6714735,0.8538785,0.79472184,0.16146584,0.83828145,0.89807934,0.5530626,0.43089837,0.7130517,0.9849557,0.25080022,0.37512952,0.50486505,0.3484589,0.78456706,13.050443,https://storage.googleapis.com/pretty_cats/image_28.jpg
29,0.9559617,0.46531725,0.7651162,0.76227796,0.8248839,0.5486853,0.76703095,0.8721725,0.92482495,0.89916664,0.7729962,0.7363576,0.8211909,0.8702234,0.9839425,0.7322344,0.8747609,0.34655038,0.7990524,0.52540785,15.248153,https://storage.googleapis.com/pretty_cats/image_29.jpg
30,0.66084987,0.3706377,0.815258,0.52646875,0.8249109,0.057329677,0.50346893,0.7821793,0.67785853,0.45225194,0.7912961,0.82941675,0.95487994,0.7090058,0.8346658,0.6316556,0.66203684,0.8338865,0.86598986,0.9074089,13.691455,https://storage.googleapis.com/pretty_cats/image_30.jpg
31,0.20974807,0.20254515,0.44759282,0.21440375,0.27486962,0.55831003,0.69568664,0.45314083,0.08473652,0.26398167,0.10319517,0.7305291,0.44535804,0.31014565,0.57984936,0.09394522,0.09412412,0.2198422,0.7597651,0.577749,7.319518,https://storage.googleapis.com/pretty_cats/image_31.jpg
32,0.6994886,0.5892008,0.6602362,0.52686244,0.75591546,0.51630205,0.7719443,0.71345776,0.6064015,0.4407739,0.3515532,0.45270652,0.5806795,0.46041352,0.855585,0.6322784,0.98059833,0.43393323,0.67602324,0.54568344,12.250038,https://storage.googleapis.com/pretty_cats/image_32.jpg
33,0.7594213,0.6463403,0.07346458,0.24571547,0.23974475,0.7701749,0.66453606,0.19467205,0.01089452,0.28670296,0.01595115,0.55556333,0.07019683,0.43431133,0.144468,0.08256217,0.30349025,0.843824,0.83685035,0.72957057,7.908454,https://storage.googleapis.com/pretty_cats/image_33.jpg
34,0.8876868,0.5204397,0.815923,0.77984524,0.8130503,0.8586894,0.8276201,0.8663953,0.3648001,0.81552076,0.7031551,0.7782118,0.8233481,0.33437586,0.76750475,0.8276601,0.66700494,0.69453096,0.84651774,0.7165465,14.708827,https://storage.googleapis.com/pretty_cats/image_34.jpg
35,0.8584599,0.54475695,0.7918858,0.5195642,0.545167,0.7559936,0.55254066,0.6013224,0.36260635,0.6403715,0.6232237,0.8694624,0.7473683,0.5830165,0.82109034,0.19534902,0.48700196,0.89987177,0.6744648,0.7602514,12.833769,https://storage.googleapis.com/pretty_cats/image_35.jpg
36,0.55324036,0.66966635,0.7920301,0.5396201,0.747961,0.7645656,0.091788664,0.35177368,0.09920161,0.09469944,0.22158353,0.18124114,0.27109525,0.46096608,0.6469906,0.123800695,0.1360373,0.958995,0.37234828,0.85751194,8.935117,https://storage.googleapis.com/pretty_cats/image_36.jpg
37,0.65914214,0.57685304,0.5775996,0.3222618,0.6250175,0.33266008,0.6454722,0.2569809,0.5960066,0.4093209,0.27756056,0.69820493,0.063209064,0.6104163,0.524085,0.09638487,0.50044775,0.3060055,0.64671344,0.55698466,9.281328,https://storage.googleapis.com/pretty_cats/image_37.jpg
38,0.83189416,0.9039271,0.9547437,0.7326199,0.8414805,0.28280354,0.09758103,0.79172045,0.48904642,0.63640916,0.9056911,0.92704433,0.606397,0.8936251,0.8762276,0.2602488,0.39416587,0.9363889,0.5944492,0.43165344,13.388117,https://storage.googleapis.com/pretty_cats/image_38.jpg
39,0.68953717,0.57660764,0.65026474,0.65087175,0.639006,0.5600144,0.77315986,0.89982194,0.6180905,0.8597114,0.08603057,0.39416814,0.43191972,0.4411035,0.9863841,0.49223724,0.22878118,0.49775553,0.16353673,0.47365773,11.11266,https://storage.googleapis.com/pretty_cats/image_39.jpg
40,0.89350325,0.6475275,0.62539697,0.87172675,0.28001302,0.6095514,0.39366314,0.43948138,0.3471977,0.5393571,0.78019315,0.795186,0.821136,0.46455523,0.7877973,0.68210906,0.56813693,0.50879675,0.29107335,0.56629115,11.912693,https://storage.googleapis.com/pretty_cats/image_40.jpg
41,0.18380813,0.13371453,0.5145242,0.1654061,0.124179184,0.34946162,0.3587821,0.25444818,0.49160558,0.04664686,0.23224995,0.3829046,0.23210101,0.119524114,0.55278397,0.15134576,0.24722914,0.14300436,0.49986744,0.41312286,5.596709,https://storage.googleapis.com/pretty_cats/image_41.jpg
42,0.947996,0.49711803,0.7365468,0.7258885,0.91378623,0.6794471,0.72120506,0.6546503,0.73203176,0.9733208,0.26989388,0.7411683,0.7022777,0.661046,0.94973433,0.5502477,0.9745583,0.59813386,0.8277213,0.8222234,14.678997,https://storage.googleapis.com/pretty_cats/image_42.jpg
43,0.8724117,0.6007324,0.5587037,0.7535659,0.38999203,0.5523181,0.71279204,0.19296436,0.24333678,0.51860476,0.20834216,0.83543295,0.17415583,0.766363,0.45949298,0.023916433,0.42062283,0.52841985,0.7582772,0.42378822,9.994233,https://storage.googleapis.com/pretty_cats/image_43.jpg
44,0.3554244,0.7161178,0.54063964,0.52829003,0.8746135,0.019115523,0.12371135,0.76316124,0.2612617,0.6314811,0.6428477,0.6456001,0.4495701,0.64694566,0.67077464,0.038698606,0.82839316,0.03145333,0.0048132394,0.43233347,9.205246,https://storage.googleapis.com/pretty_cats/image_44.jpg
45,0.6618529,0.41197282,0.67262036,0.40090558,0.33051255,0.17079549,0.13882351,0.529444,0.14651914,0.20933358,0.2833904,0.7750736,0.61909175,0.66024125,0.26818907,0.03523667,0.3910907,0.51153743,0.58951515,0.50288624,8.309032,https://storage.googleapis.com/pretty_cats/image_45.jpg
