leaderboard_position,image_number,image_url,pretty_similarity,ugly_similarity,global_score,pretty_logit,ugly_logit,pretty_probability,ugly_probability
1,5566,https://storage.googleapis.com/pretty_cats/image_5566.jpg,0.3155198097229004,0.2812463343143463,0.03427347540855408,31.55198097229004,28.124631881713867,0.9685483574867249,0.03145158663392067
2,8975,https://storage.googleapis.com/pretty_cats/image_8975.jpg,0.3053089678287506,0.27112138271331787,0.03418758511543274,30.530899047851562,27.112140655517578,0.9682856202125549,0.03171433508396149
3,1269,https://storage.googleapis.com/pretty_cats/image_1269.jpg,0.2754994034767151,0.2427080273628235,0.0327913761138916,27.549942016601562,24.27080535888672,0.9637061357498169,0.03629390150308609
4,5887,https://storage.googleapis.com/pretty_cats/image_5887.jpg,0.29611843824386597,0.26346972584724426,0.032648712396621704,29.611846923828125,26.346975326538086,0.9632038474082947,0.03679616004228592
5,1687,https://storage.googleapis.com/pretty_cats/image_1687.jpg,0.30086207389831543,0.26920151710510254,0.03166055679321289,30.086204528808594,26.920154571533203,0.9595365524291992,0.04046350717544556
6,6632,https://storage.googleapis.com/pretty_cats/image_6632.jpg,0.3059578537940979,0.27449968457221985,0.03145816922187805,30.595787048339844,27.449970245361328,0.9587435126304626,0.04125642403960228
7,6768,https://storage.googleapis.com/pretty_cats/image_6768.jpg,0.3047488331794739,0.27398553490638733,0.030763298273086548,30.474885940551758,27.398555755615234,0.9559057354927063,0.04409423843026161
8,315,https://storage.googleapis.com/pretty_cats/image_315.jpg,0.30467575788497925,0.2740071415901184,0.03066861629486084,30.467571258544922,27.400711059570312,0.9555048942565918,0.044495128095149994
9,7143,https://storage.googleapis.com/pretty_cats/image_7143.jpg,0.27765268087387085,0.2470686435699463,0.03058403730392456,27.76526641845703,24.706863403320312,0.955143928527832,0.04485607519745827
10,82,https://storage.googleapis.com/pretty_cats/image_82.jpg,0.30702996253967285,0.27672451734542847,0.030305445194244385,30.702999114990234,27.672452926635742,0.9539351463317871,0.046064820140600204
11,5568,https://storage.googleapis.com/pretty_cats/image_5568.jpg,0.28447091579437256,0.25420671701431274,0.030264198780059814,28.447093963623047,25.420673370361328,0.9537535905838013,0.046246450394392014
12,2481,https://storage.googleapis.com/pretty_cats/image_2481.jpg,0.29632389545440674,0.2661125957965851,0.030211299657821655,29.63239097595215,26.61126136779785,0.9535196423530579,0.046480391174554825
13,7159,https://storage.googleapis.com/pretty_cats/image_7159.jpg,0.28130006790161133,0.25109416246414185,0.030205905437469482,28.130008697509766,25.109418869018555,0.9534956812858582,0.04650431498885155
14,3541,https://storage.googleapis.com/pretty_cats/image_3541.jpg,0.29976963996887207,0.2695786952972412,0.03019094467163086,29.976966857910156,26.95787239074707,0.9534293413162231,0.04657066985964775
15,9851,https://storage.googleapis.com/pretty_cats/image_9851.jpg,0.2993612289428711,0.2691880762577057,0.030173152685165405,29.936124801635742,26.91880989074707,0.9533502459526062,0.0466497465968132
16,5365,https://storage.googleapis.com/pretty_cats/image_5365.jpg,0.29099762439727783,0.2608795762062073,0.030118048191070557,29.09975814819336,26.08795738220215,0.9531043767929077,0.0468955934047699
17,356,https://storage.googleapis.com/pretty_cats/image_356.jpg,0.25571417808532715,0.22598810493946075,0.029726073145866394,25.5714168548584,22.59881019592285,0.9513211250305176,0.04867887124419212
18,6931,https://storage.googleapis.com/pretty_cats/image_6931.jpg,0.2855691909790039,0.25589194893836975,0.029677242040634155,28.556921005249023,25.589197158813477,0.9510945081710815,0.04890548810362816
19,2894,https://storage.googleapis.com/pretty_cats/image_2894.jpg,0.29693374037742615,0.2675621807575226,0.029371559619903564,29.693376541137695,26.7562198638916,0.949652910232544,0.050347041338682175
20,8322,https://storage.googleapis.com/pretty_cats/image_8322.jpg,0.27346938848495483,0.2441592812538147,0.029310107231140137,27.346935272216797,24.41592788696289,0.9493581056594849,0.05064186826348305
21,7539,https://storage.googleapis.com/pretty_cats/image_7539.jpg,0.2827150225639343,0.2536405920982361,0.029074430465698242,28.27150535583496,25.36406135559082,0.9482132196426392,0.05178681015968323
22,6360,https://storage.googleapis.com/pretty_cats/image_6360.jpg,0.3049592971801758,0.27594220638275146,0.029017090797424316,30.495929718017578,27.594223022460938,0.9479307532310486,0.05206926167011261
23,5830,https://storage.googleapis.com/pretty_cats/image_5830.jpg,0.2811340093612671,0.25216174125671387,0.028972268104553223,28.1134033203125,25.216176986694336,0.9477092027664185,0.05229084938764572
24,96,https://storage.googleapis.com/pretty_cats/image_96.jpg,0.24259310960769653,0.21370549499988556,0.028887614607810974,24.259313583374023,21.37055206298828,0.9472880363464355,0.05271192267537117
